,Y_Coordina,X_Coordina,Caffeine,Protriptyline,Sucralose,Atrazine + TPs,Metolachlor + TPs,"2,4-D",Benzothiazole,% Caffeine,% Protriptyline,% Sucralose,% Atrazine + TPs,% Metolachlor + TPs,"% 2,4-D",% Benzothiazole,Total micropollutans,Ratio_Total_micropollutants
Lake 53,41.857498,-74.962898,0,70.8895,0,19.584,17.5735,6.7735,239.608,0,0.77328549,0,0.348121727,0.119318371,0.04134727,0.555914478,354.4285,0.323190051
Lake 120,44.457802,-73.501404,56.3565,0,0,2.3435,8.0155,0,318.16375,1.900515201,0,0,0.041657642,0.054422648,0,0.73817166,384.87925,0.350956948
Lake 29,42.816799,-73.399498,14.772,67.17375,332.47525,49.0845,21.9585,0,182.151,0.498157454,0.732752893,1.878859715,0.872517407,0.1490911,0,0.422608503,667.615,0.60877307
Lake 77,42.938801,-73.857803,76.62583333,0,227.54175,50.91125,45.7745,581.020625,230.872,2.58405971,0,1.285867226,0.904989392,0.310794023,3.546706493,0.535646086,1212.745958,1.105857538
Lake 257,41.359501,-73.812698,0,0,523.2825,2.679,707.9865,7.109,573.9115,0,0,2.957135632,0.047621431,4.806998936,0.043395252,1.331531969,1814.9685,1.65500168
Lake 229,41.434399,-73.740601,0,99.8365,72.841,0,8.409,0,149.133,0,1.089048687,0.411633709,0,0.057094385,0,0.346003447,330.2195,0.301114773
Lake 78,42.045502,-75.665703,20.626,73.789,50.6695,19.3935,19.604,0,225.0035,0.69557241,0.80491417,0.286339757,0.344735432,0.133104808,0,0.52203058,409.0855,0.373029719
Lake 235,42.6483,-73.487999,0,55.7115,179.3005,20.727,20.0205,0,329.38,0,0.60771898,1.013249817,0.368439493,0.135932708,0,0.764194479,605.1395,0.551804006
Lake 231,42.663502,-73.807098,68.337,77.9835,62.7345,55.5225,216.3875,305.2505,411.504,2.304534655,0.850669126,0.354520599,0.986958158,1.469201012,1.863331324,0.954730357,1197.7195,1.092155475
Lake 12,44.316502,-75.7752,17.25025,0,62.958,12.1295,7.64525,56.63625,314.024,0.581731696,0,0.355783626,0.215611851,0.05190877,0.345722935,0.728567026,470.64325,0.429161922
Lake 176,43.165402,-74.529297,0,63.1765,0,10.4845625,19.0884375,0,220.5855,0,0.689149603,0,0.186371732,0.129604306,0,0.511780379,313.335,0.285718431
Lake 57,42.8153,-75.006103,7.8875,70.6425,60.17625,82.39425,123.33325,88.89875,198.58225,0.265990855,0.770591135,0.340063604,1.464625643,0.837392806,0.54266193,0.460730643,631.91475,0.576219352
Lake 253,42.778,-77.305099,49.22525,50.9355,0,149.0099167,127.9335,6.885333333,959.818,1.660027431,0.555620834,0,2.648773974,0.868627013,0.04202993,2.226873571,1343.8075,1.225367641
Lake 182,42.688301,-76.702103,49.18018182,64.6355,292.5991154,261.1570152,743.9518077,9.886357143,477.8544615,1.658507592,0.705064845,1.653514631,4.642280999,5.051191722,0.060348989,1.108670051,1899.264439,1.731867984
Lake 41,42.9482,-75.872002,0,0,0,61.09741667,12.922375,68.02958333,184.0586667,0,0,0,1.086056893,0.087738739,0.415270912,0.42703448,326.1080417,0.297365688
Lake 33,42.202801,-79.4385,45.5675,0,61.7495,11.58275,68.43175,152.12125,514.019,1.536676806,0,0.348954239,0.205892919,0.46462941,0.92858911,1.19257539,853.47175,0.778248868
Lake 22,42.752201,-77.718697,6.5305,55.38025,0,286.1945,370.932875,74.9385,195.88975,0.220228625,0.604105598,0,5.087342909,2.518514033,0.457444802,0.454483774,989.866375,0.902622009
Lake 96,43.2006,-73.423401,59.3405,283.4695,47.307,90.412,82.8885,272.948,274.703,2.001144895,3.092176575,0.267337844,1.607147751,0.562786058,1.666148157,0.637338381,1111.0685,1.013141679
Lake 37,42.760601,-75.5578,37.613,63.726,0,104.89125,71.522,0,174.77425,1.268426504,0.695143726,0,1.864528343,0.485611206,0,0.405493706,452.5265,0.412641937
Lake 17,42.7859,-76.149399,43.426,59.02275,0,188.205875,369.5962708,417.99225,344.5946875,1.464458813,0.643839161,0,3.345514409,2.509438924,2.551537352,0.799494073,1422.837833,1.297432437
Lake 23,42.253399,-78.292801,69.1845,56.1555,0,77.71675,201.27675,0,1216.00825,2.333114972,0.612562274,0,1.381479228,1.366603916,0,2.821260524,1620.34175,1.477528849
Lake 195,42.059601,-75.553398,37.935,0,254.027,17.432,16.1485,20.024,502.623,1.279285338,0,1.435538726,0.309868155,0.109643083,0.122231893,1.166135533,848.1895,0.773432182
Lake 40,42.810699,-75.888603,44.45985714,61.703,0,109.7589375,168.6759375,668.599375,306.9165,1.499323668,0.673076191,0,1.951055497,1.145254962,4.081310787,0.712076917,1360.113607,1.240236568
Lake 66,42.7491,-74.112602,0,0,247.1535,5.031,8.216,29.2485,249.651,0,0,1.396695707,0.089430168,0.055783978,0.178540727,0.579215241,539.3,0.491767436
Lake 169,43.880798,-73.583099,3.3865,54.174,0,41.22125,22.82275,146.7305,259.7995,0.114203237,0.590947434,0,0.732741663,0.154959078,0.895682519,0.602760774,528.1345,0.481586036
Lake 215,44.668999,-74.273804,0,50.52,0,1.6855,8.3895,0,257.5005,0,0.551088426,0,0.02996115,0.056961987,0,0.597426864,318.0955,0.290059352
Lake 39,42.8591,-75.698998,3.0455,54.4535,0,54.314,21.761,61.811,208.296,0.102703664,0.59399631,0,0.965476076,0.147750139,0.377311003,0.483267513,403.681,0.368101558
Lake 183,43.564899,-73.770302,0,0,117.5365,4.01725,20.42,0,356.569,0,0,0.664213636,0.071409927,0.138645184,0,0.827275673,498.54275,0.454602429
Lake 177,42.732101,-73.460999,18.0205,58.097,0,1.981,9.128,63.9585,225.9775,0.607706905,0.633740782,0,0.035213906,0.061976162,0.390419922,0.524290358,377.1625,0.343920333
Lake 258,41.056999,-72.336304,74.162,58.967,0,2.2565,8.513,0,181.496,2.500971642,0.643231022,0,0.040111146,0.057800512,0,0.421088837,325.3945,0.296715036
Lake 13,43.721199,-74.911598,30.1412,51.545,0,10.99925,11.1963125,0,406.361625,1.016454336,0.562269456,0,0.195520726,0.076019334,0,0.942799534,510.2433875,0.465271801
Lake 68,43.030701,-74.074501,0,0,0,3.3415,8.9965,288.6335,169.5075,0,0,0,0.059397914,0.06108332,1.761896677,0.393274321,470.479,0.429012148
Lake 69,42.5173,-75.774803,0,65.594,0,11.8965,19.487,0,251.78825,0,0.715520471,0,0.211470084,0.132310416,0,0.584173874,348.76575,0.318026402
Lake 247,42.623001,-73.5308,0,278.152,0,11.6495,19.82825,10.39075,248.6255,0,3.034171573,0,0.207079455,0.134627393,0.063427939,0.576835978,568.646,0.518526953
Lake 8,43.363602,-73.673203,0,1408.959,193.5185,3.9425,11.562,3299.43665,337.5845,0,15.36937842,1.093597534,0.070081184,0.078502234,20.14065058,0.783229738,5255.00315,4.791840211
Lake 194,42.412899,-75.499397,74.63475,0,0,48.27742857,46.87892857,456.713,272.8051429,2.516914232,0,0,0.858171048,0.318292735,2.787899246,0.632935163,899.30925,0.820046364
Lake 132,41.428398,-74.6008,15.3015,120.3945,72.8215,26.80675,8.98725,0,334.9075,0.516013829,1.31330197,0.411523513,0.476512056,0.061020515,0,0.777018831,579.219,0.528168075
Lake 126,43.423698,-73.571999,55.9065,0,0,10.0575,8.7115,0,441.2535714,1.885339811,0,0,0.178780345,0.059148262,0,1.023752332,515.9290714,0.470456363
Lake 115,42.7542,-77.511597,0,62.24175,0,54.90825,23.3195,11.328625,277.43575,0,0.678953049,0,0.976039359,0.158331849,0.06915298,0.643678634,429.233875,0.391402266
Lake 107,43.2598,-73.904999,0,0,0,2.6585,8.304,0,348.5085,0,0,0,0.047257027,0.056381469,0,0.808574509,359.471,0.327788118
Lake 245,42.973999,-76.069099,0,0,0,143.157,414.1465,40.1925,355.228,0,0,0,2.54473356,2.811920545,0.245345853,0.82416442,952.724,0.868753271
Lake 108,43.2673,-73.912804,0,0,0,3.0345,10.81,0,477.373,0,0,0,0.053940736,0.073396397,0,1.107553012,491.2175,0.447922808
Lake 255,42.493401,-77.139504,0,1066.0785,0,121.118,105.41,61.605,552.6685,0,11.62912752,0,2.152972187,0.715699746,0.376053524,1.282246088,1906.88,1.738812328
Lake 230,41.385601,-73.749802,0,0,403.4185,18.0735,7.0185,498.5445,203.4605,0,0,2.279768999,0.321271345,0.047653341,3.043249997,0.47204867,1130.5155,1.030874669
Lake 50,44.147499,-75.382202,8.096,0,0,19.149,9.1215,0,292.1695,0.273022119,0,0,0.340389244,0.061932029,0,0.677862405,328.536,0.299579652
Lake 2,41.4585,-73.665001,19.59,91.389,610.35675,13.23975,7.91625,24.8575,350.43875,0.660635291,0.996900637,3.449203239,0.235347459,0.053748773,0.15173688,0.813052881,1117.788,1.019268939
Lake 45,42.6772,-76.302498,0,0,0,98.20625,539.9135,1587.63925,206.12275,0,0,0,1.745696963,3.665837725,9.691377885,0.478225356,2431.88175,2.217541727
Lake 130,42.347698,-77.477898,62.13175,0,0,107.6165,22.1795,0,240.04375,2.095274464,0,0,1.912971906,0.150591618,0,0.556925462,431.9715,0.393898604
Lake 199,43.6539,-73.498802,78.3874375,246.5653333,54.35672222,9.641454545,56.62041667,0,366.201,2.643466442,2.689614043,0.307176716,0.171384794,0.384434283,0,0.849622875,811.7723642,0.740224762
Lake 248,43.6539,-73.498802,0,0,0,4.149,22.947,0,345.092,0,0,0,0.073751892,0.155802695,0,0.800647888,372.188,0.339384273
Lake 102,43.0509,-77.479401,46.80675,0,2215.7695,2.7005,9.76,19.269,847.9765,1.578468143,0,12.52159386,0.048003611,0.066267238,0.117623169,1.967390127,3142.28225,2.865329289
Lake 18,41.341999,-73.725403,11.00108333,59.198,0,69.97060714,365.3456875,60.4671,242.4428125,0.3709905,0.645750844,0,1.24378516,2.48057884,0.369107476,0.562491526,808.4252905,0.737172691
Lake 49,43.248531,-76.958078,12.888,52.953,203.27025,257.3955,220.494,84.08475,171.36525,0.434623156,0.577628373,1.148705908,4.575416969,1.497082817,0.513275977,0.397584486,1002.45075,0.914097228
Lake 205,41.296501,-73.561401,0,114.3625,103.1475,10.5905,7.71825,0,228.4195,0,1.247502971,0.582899576,0.188254858,0.052404417,0,0.529956041,464.23825,0.423321443
Lake 73,41.3395,-73.882797,162.36275,53.451,2114.63525,10.363,7.98575,0,1854.5265,5.475373283,0.583060718,11.95007142,0.184210859,0.054220655,0,4.302686602,4203.32425,3.83285368
Lake 88,44.325199,-73.959198,0,66.2425,0,2.6575,10.292,0,235.03925,0,0.722594518,0,0.047239251,0.069879345,0,0.545314522,314.23125,0.286535687
Lake 133,42.3293,-77.2929,0,67.791,110.90775,123.02175,23.293,0,382.49425,0,0.739486055,0.626753731,2.186812911,0.158151923,0,0.887424841,707.50775,0.645149772
Lake 166,43.375301,-73.639702,0,58.7675,96.7815,48.739,9.39975,0,176.98175,0,0.641054811,0.546924505,0.86637586,0.063821257,0,0.410615327,390.6695,0.35623686
Lake 74,41.297699,-73.584099,0,0,129.1935,11.64775,19.938,19.51525,256.859,0,0,0.730088819,0.207048348,0.13537256,0.119126346,0.59593852,437.1535,0.398623875
Lake 38,42.802898,-75.606903,16.848,0,0,53.4995,19.3185,0,313.419,0.568166584,0,0,0.950997668,0.131166356,0,0.727163366,403.085,0.367558088
Lake 134,42.427399,-78.479202,116.105,0,139.032,40.007,329.646,41.7985,435.346,3.915419116,0,0.785687427,0.711157369,2.23818953,0.25514931,1.010046177,1101.9345,1.004812727
Lake 135,44.129902,-73.580498,13.6855,74.4305,0,2.369,9.965,0,347.28975,0.461517319,0.811911859,0,0.042110926,0.067659121,0,0.805746887,447.73975,0.408277079
Lake 58,40.918201,-72.408501,0,0,60.9595,2.0435,9.233,0,200.239,0,0,0.344489849,0.036324895,0.062689078,0,0.464574468,272.475,0.24845973
Lake 210,40.9776,-72.296204,19.645,72.5145,275.95125,10.01,7.439,0,532.61075,0.662490061,0.791011514,1.559435437,0.177935993,0.0505084,0,1.235710106,918.1705,0.83724523
Lake 249,42.069143,-73.591197,0,62.89,0,61.809,69.19575,234.69825,323.12675,0,0.686024369,0,1.098705873,0.469816722,1.432661374,0.749686315,751.71975,0.685465036
Lake 209,40.975102,-72.290802,0,62.89,0,61.809,69.19575,234.69825,323.12675,0,0.686024369,0,1.098705873,0.469816722,1.432661374,0.749686315,751.71975,0.685465036
Lake 136,42.492599,-77.566902,16.446,0,0,89.8235,38.57125,515.473,215.012,0.554609903,0,0,1.596686679,0.26188629,3.146586123,0.498849303,875.32575,0.79817671
Lake 72,43.503741,-75.89079,131.121,187.737,0,37.05,23.116,0,824.5195,4.421805003,2.047895642,0,0.658594259,0.15695015,0,1.912967545,1203.5435,1.097466162
Lake 250,42.079399,-73.594101,27.753,65.241,47.4055,65.3675,188.65725,3627.3415,359.33475,0.935916857,0.711669834,0.26789448,1.16196114,1.2809216,22.14227016,0.833692489,4381.1005,3.994961173
Lake 31,42.470299,-75.8741,18.1985,65.8575,0,61.2355,1077.936,0,337.666,0.613709614,0.718394814,0,1.088511438,7.318836172,0,0.783418826,1560.8935,1.42332022
Lake 137,44.292198,-75.767502,15.9645,0,0,6.539,18.834,55.7465,667.4325,0.538372236,0,0,0.11623611,0.127876757,0.340291661,1.548510024,764.5165,0.697133913
Lake 149,44.289001,-73.982101,31.6745,0,0,11.1185,14.6415,0,261.06675,1.068161946,0,0,0.197640493,0.099411041,0,0.60570092,318.50125,0.29042934
Lake 236,41.525299,-74.917297,33.0475,67.7665,0,11.44675,10.46275,0,492.76625,1.114463746,0.739218801,0,0.203475407,0.071038682,0,1.143266889,615.48975,0.561242011
Lake 6,42.538101,-73.603798,21.50275,0,114.472,53.14525,19.113,0,992.94825,0.725139127,0,0.646895759,0.944700582,0.129771077,0,2.303739058,1201.18125,1.095312115
Lake 109,41.548801,-74.103699,0,69.2325,372.116,40.068,7.23675,0,320.356,0,0.755210401,2.10287461,0.712241695,0.049135188,0,0.743257899,809.00925,0.737705182
